city_en,city_pop
Moscow,12655050
St. Petersburg,5384342
Novosibirsk,1620162
Yekaterinburg,1495066
Kazan,1257341
Nizhny Novgorod,1244254
Chelyabinsk,1187960
Samara,1144759
Omsk,1139897
Rostov-on-Don,1137704
Ufa,1125933
Krasnoyarsk,1092851
Voronezh,1050602
Perm,1049199
Volgograd,1004763
Krasnodar,948827
Saratov,830155
Tyumen,816700
Tolyatti,693072
Izhevsk,646468
Barnaul,631124
Ulyanovsk,625462
Irkutsk,617515
Khabarovsk,610305
Makhachkala,604266
Yaroslavl,601403
Vladivostok,600871
Orenburg,572819
Tomsk,568508
Kemerovo,552546
Novokuznetsk,544583
Ryazan,534801
Naberezhnye Chelny,532074
Astrakhan,524371
Kirov,521091
Penza,516450
Balashikha,507307
Lipetsk,503216
Cheboksary,495810
Kaliningrad,493256
Tula,467955
Sevastopol,464349
Stavropol,454488
Kursk,450977
Ulan-Ude,437514
Sochi,432322
Tver,424969
Magnitogorsk,413251
Ivanovo,401505
Bryansk,399579
Belgorod,391702
Surgut,387235
Vladimir,352347
Chita,350861
Arkhangelsk,344927
Nizhny Tagil,344656
Simferopol,336212
Kaluga,331842
Yakutsk,330615
Grozny,324602
Volzhsky,323853
Smolensk,320170
Saransk,317432
Cherepovets,312091
Kurgan,309285
Podolsk,309250
Vologda,308530
Oryol,303696
Vladikavkaz,301543
Tambov,289701
Murmansk,282851
Petrozavodsk,280711
Nizhnevartovsk,278725
Kostroma,277393
Yoshkar-Ola,276155
Novorossiysk,275795
Sterlitamak,274134
Khimki,257757
Taganrog,248269
Mytishchi,245643
Syktyvkar,243926
Komsomolsk-on-Amur,241072
Nizhnekamsk,240097
Nalchik,239054
Shakhty,228816
Dzerzhinsk,227326
Engels,226143
Blagoveshchensk,225757
Korolyov,225299
Bratsk,225037
Velikiy Novgorod,225019
Orsk,224814
Stary Oskol,223711
Angarsk,222855
Pskov,209426
Lyubertsy,208397
Yuzhno-Sakhalinsk,200235
Biysk,198433
Prokopyevsk,187877
Abakan,187239
Armavir,187215
Balakovo,186012
Norilsk,182701
Rybinsk,182383
Severodvinsk,180806
Petropavlovsk-Kamchatsky,179367
Krasnogorsk,175812
Ussuriysk,172942
Volgodonsk,169953
Novocherkassk,166312
Syzran,165199
Kamensk-Uralsky,163990
Zlatoust,162148
Almetyevsk,158019
Elektrostal,152607
Kerch,151996
Miass,150914
Salavat,148947
Khasavyurt,146394
Pyatigorsk,146267
Kopeysk,145961
Nakhodka,142673
Rubtsovsk,139565
Maykop,139084
Kolomna,138693
Berezniki,137091
Odintsovo,135867
Domodedovo,135070
Kovrov,134074
Neftekamsk,131945
Kaspiysk,128663
Nefteyugansk,128159
Kislovodsk,127919
Novocheboksarsk,127586
Bataysk,127444
Shchyolkovo,127292
Derbent,126606
Serpukhov,125473
Nazran,124169
Ramenskoye,123590
Cherkessk,123148
Novomoskovsk,121674
Kyzyl,120067
Pervouralsk,119365
Novy Urengoy,118115
Orekhovo-Zuyevo,117966
Dolgoprudny,117778
Obninsk,116179
Nevinnomyssk,115627
Yessentuki,114824
Oktyabrsky,113737
Dimitrovgrad,112388
Pushkino,108741
Kamyshin,108665
Noyabrsk,108376
Yevpatoria,108149
Reutov,108000
Zhukovsky,107558
Seversk,105858
Murom,105572
Novoshakhtinsk,105038
Artyom,104926
Achinsk,104850
Berdsk,103561
Elista,103535
Arzamas,103396
Khanty-Mansiysk,103117
Noginsk,103063
Yelets,101306
Zheleznogorsk,100554
Zelenodolsk,100009
Novokuybyshevsk,99469
Sergiyev Posad,98784
Tobolsk,98772
Votkinsk,96861
Sarov,96479
Mezhdurechensk,96088
Mikhaylovsk,95525
Serov,95141
Sarapul,94554
Anapa,94340
Leninsk-Kuznetsky,93288
Ukhta,92479
Voskresensk,92196
Solikamsk,91959
Glazov,91921
Magadan,91797
Velikiye Luki,90485
Michurinsk,89876
Lobnya,89522
Gatchina,89311
Kansk,88362
Kamensk-Shakhtinsky,87113
Gubkin,86073
Buzuluk,86042
Kiselyovsk,85339
Yeysk,83127
Ivanteyevka,82779
Novotroitsk,82463
Chaykovsky,81855
Bugulma,81678
Zheleznogorsk,81619
Yurga,80367
Kineshma,79936
Azov,79857
Kuznetsk,79800
Ust-Ilimsk,79746
Novouralsk,79638
Klin,79635
Vidnoye,78635
Murino,78184
Yalta,78171
Ozyorsk,78128
Kropotkin,77074
Bor,76732
Vsevolozhsk,75660
Gelendzhik,75504
Chernogorsk,75348
Usolye-Sibirskoye,75062
Balashov,74981
Novoaltaysk,74586
Dubna,74499
Shadrinsk,74400
Verkhnyaya Pyshma,74262
Vyborg,74054
Yelabuga,73866
Mineralnye Vody,73183
Yegoryevsk,73046
Troitsk,72723
Chekhov,71077
Chapayevsk,70944
Belovo,70611
Birobidzhan,70433
Kogalym,68700
Kirovo-Chepetsk,68588
Dmitrov,68397
Tuymazy,68108
Slavyansk-na-Kubani,67777
Feodosia,67750
Minusinsk,67234
Sosnovy Bor,67054
Naro-Fominsk,67009
Anzhero-Sudzhensk,66933
Kstovo,66928
Sunzha,66807
Buynaksk,66422
Stupino,65660
Georgiyevsk,65633
Zarechny,65493
Gorno-Altaysk,64504
Belogorsk,64502
Beloretsk,64479
Kungur,64259
Ishim,64010
Urus-Martan,63955
Ishimbay,63849
Pavlovsky Posad,62718
Klintsy,62704
Gukovo,62658
Rossosh,62290
Asbest,62285
Kotlas,62284
Zelenogorsk,61821
Donskoy,61477
Leninogorsk,61321
Izberbash,61296
Tuapse,60987
Volsk,60948
Revda,60761
Budyonnovsk,60504
Beryozovsky,60334
Sibay,60017
Polevskoy,60012
Lytkarino,59937
Lysva,59610
Kumertau,59129
Belebey,59093
Neryungri,58969
Lesosibirsk,58949
Fryazino,58938
Sertolovo,58802
Chistopol,58771
Prokhladny,58747
Borisoglebsk,58742
Nyagan,58733
Labinsk,58498
Krymsk,58051
Tikhvin,57327
Gudermes,57179
Aleksin,57102
Alexandrov,57073
Mikhaylovka,56981
Rzhev,56399
Shchyokino,56263
Tikhoretsk,56262
Salsk,56247
Shali,56226
Pavlovo,56129
Shuya,56041
Meleuz,56036
Krasnoturyinsk,55910
Iskitim,55433
Severomorsk,54473
Apatity,53847
Svobodny,52918
Vyksa,52892
Liski,52823
Dzerzhinsky,52797
Volzhsk,52703
Vyazma,52434
Vorkuta,52292
Gus-Khrustalny,51998
Snezhinsk,51921
Krasnokamsk,51815
Arsenyev,52723
Krasnokamensk,51451
Belorechensk,51405
Salekhard,51186
Zhigulyovsk,50782
Kotelniki,50723
Timashyovsk,50566
Kirishi,50079
